Company_URL,Industry_Type,Company_Address,Company_Country
https://www.sirva.com,Real Estate,"Oakbrook Terrace, Illinois",United States
http://www.cdwg.com,IT Services and IT Consulting,,
http://www.cdwg.com,IT Services and IT Consulting,,
http://www.foremostgroups.com,Wholesale,"East Hanover, NJ",United States
http://www.fdf.org.uk,Food and Beverage Services,London,United Kingdom
,,,
,,,
http://www.cfsigroup.com,Construction,"Dartmouth, Nova Scotia",Canada
,,,
,,,
http://www.billionmilessg.com,Machinery Manufacturing,"Singapore, Singapore",Singapore
http://eemotors.com,Wholesale,"Doral, Florida",United States
,,,
https://ckgroup.co.uk,Staffing and Recruiting,Stevenage,United Kingdom
,,,
http://www.fdf.org.uk,Food and Beverage Services,London,United Kingdom
http://rexgroup.ru,,,
http://ezpaybuildingsllc.com,Financial Services,"WOOSTER, Ohio",United States
https://palaciodosleiloes.com.br,Administração de serviços,"Juatuba, Minas Gerais",Brasil
http://www.powerlift.com,Machinery Manufacturing,"Northridge, California",United States
http://www.pelmorex.com,Information Services,"Oakville, Ontario",Canada
,,,
,,,
,Religious Institutions,"Fresno, California",United States
http://floraalpina.ch,,,
https://everview.io,IT Services and IT Consulting,"Carlstadt, New Jersey",United States
http://www.lhh.com,Human Resources Services,"Jacksonville, Florida",United States
http://www.e-wikom.de,Renewables & Environment,"Wanfried, Hesse",Deutschland
http://www.arccspaces.com,Executive Offices,Singapore,Singapore
https://www.MahoneyFoundries.com,Primary Metal Manufacturing,"Kendallville, Indiana",United States
http://www.metronottevigilanza.it,Sicurezza e investigazioni,"Piacenza, Emilia Romagna",Italia
,,,
https://www.ykkfastening.com/,Textile Manufacturing,"Chiyoda-ku, Tokyo",日本
http://www.ohiohistory.org,"Museums, Historical Sites, and Zoos","Columbus, OH",United States
,,,
https://www.persingerlaw.com/,Law Practice,"Charleston, WV",United States
https://mipe.it,Construction,,
,,,
http://www.wingstherapycenter.com,"Physical, Occupational and Speech Therapists",Tanglin,Singapore
http://www.2plan.com,Financial Services,Leeds,United Kingdom
,,,
http://www.siampremier.com,Law Practice,"Pathumwan, Bangkok",ประเทศไทย
https://www.zain.com,Telecommunications,Kuwait,الكويت
http://www.gsaenz.com.mx/,Food & Beverages,Federal District,Brasil
,,,
,,,
,Real Estate,MONTPELLIER,France
,,,
,,,
http://neo-laser.com/,Medical Equipment Manufacturing,"Caesarea , Israel",ישראל
https://www.daniel-mercier.com,Agro-alimentaire,BAUGY,France
https://www.aeroportlleida.cat/en/,Aviation & Aerospace,"Alguaire, Lleida",España
http://www.mehmetceylanyapi.com.tr,Toptan Satış Yapı Malzemeleri,"İzmir, İzmir",Türkiye
http://www.energyinsightinc.com,Environmental Services,"Chanhassen, MN",United States
,,,
https://linktr.ee/piramidaloficial_,Fabricação de plásticos,"Vila Olimpia, Sao Paulo",Brasil
,,,
,,,
https://www.chevalerias.com/,Agriculture,"Montbron, Nouvelle-Aquitaine",France
http://www.faithfamilyacademy.org,Education Administration Programs,"DeSoto, TX",United States
https://dasholding.ae/,Investment Management,"Abu Dhabi, Abu Dhabi",الإمارات العربية المتحدة
http://www.sharonibillik.com,Pharmaceutical Manufacturing,"Los Angeles, CA",United States
http://www.eljayoil.com,Oil and Gas,"Spokane, WA",United States
https://scottpartners.com.au,Accounting,"Malvern, Vic",Australia
http://www.beamconstruction.com/,Construction,"Cherryville, North Carolina",United States
http://stavinvest.cz,,,
,,,
http://www.milbermakris.com/,Law Practice,"Woodbury, New York",United States
http://www.pelicanwoodcliff.com,Real Estate,,
http://www.carthageareahospital.com,Hospitals and Health Care,"Carthage, NY",United States
http://www.clearcreekpartners.com,Financial Services,"Denver, CO",United States
www.sinloc.com,Investment Management,"Padova, Italia",Italia
http://www.deeroaks.com,Mental Health Care,"San Antonio, Texas",United States
http://www.co-collections.com,Retail Apparel and Fashion,"Los Angeles, California",United States
http://www.sd69.bc.ca/,,,
http://www.monaco-technologies.com,IT Services and IT Consulting,Monaco,Monaco
https://www.hanwha.com/en.html,Chemical Manufacturing,Seoul,대한민국
https://personalinjury305.com/,Legal Services,Miami,United States
http://marianoshoes.com,Retail Luxury Goods and Jewelry,São João da Madeira,Portugal
,,,
http://www.ragasa.com.mx/,Servicios de alimentos y bebidas,"Monterrey, Nuevo León",México
,,,
https://www.meroso.be,Food and Beverage Manufacturing,"Ramsdonk, Flemish Region",België / Belgique / Belgien
http://www.concrejato.com.br,Obras de infra-estrutura,"São Paulo, SP",Brasil
,Design Services,"Gandhinagar, Gujarat",India
http://www.nobleweb.com,Real Estate,"Lancaster, Pennsylvania",United States
http://www.GormanUSA.com,Real Estate,"Oregon, WI",United States
,,,
http://www.esprigas.com,"Transportation, Logistics, Supply Chain and Storage","Atlanta, Georgia",United States
https://www.cciamp.com/,Administration publique,"Marseille, Bouches du Rhône",France
,,,
http://www.ramlowstein.com,Architecture and Planning,"Milwaukee, WI",United States
http://shopneolife.com,Wellness and Fitness Services,"Santa Clara, CA",United States
http://seasonsdarlingharbour.com.au,Hospitality,"Sydney, New South Wales",Australia
http://www.nerolac.com,Consumer Goods,"Mumbai, Maharashtra",India
http://green-hydrogen.com,Renewable Energy Semiconductor Manufacturing,"Cardiff, Wales",United Kingdom
https://designlinkarchitects.com/,Architecture and Planning,"SINGAPORE, SINGAPORE",Singapore
,,,
,,,
https://www.cciamp.com/,Administration publique,"Marseille, Bouches du Rhône",France
http://www.konkconsulting.com,Software Development,Porto,Portugal
https://www.hamiltonkw.com/index.php,Consumer Services,Kuwait city,الكويت
http://www.mayair.com.my,Environmental Services,Global,Canada
http://www.vodatech.com.ng,IT Services and IT Consulting,,
http://mobi-mat.com,Defense and Space Manufacturing,"La Couronne, Nouvelle-Aquitaine",France
http://WWW.ABZARSARA.COM,Wholesale,"Tehran, Tehran",ایران
http://biso.dk,IT Services and IT Consulting,"Copenhagen, Danmark",Danmark
,,,
,,,
,,,
https://skystar.vc/,Pimpinan Modal Usaha dan Ekuitas Swasta,Jakarta,Indonesia
http://www.zep.com/,Chemical Manufacturing,"Atlanta, Georgia",United States
http://www.rydershealth.com,Hospitals and Health Care,,
,,,
http://www.alpepipesystems.com,Wholesale,"Stams, Tirol/Österreich",Österreich
http://www.optoflux.com,Plastics Manufacturing,"Nürnberg, Mittelfranken, Bavaria",Deutschland
,,,
,,,
http://www.tavlit.co.il,Farming,"Yavne, il",ישראל
https://www.magasins-u.com/magasin/superu-nieulsurmer,Retail,Nieul sur mer,France
http://www.feuille-erable.fr,Collecte des déchets,RENNES,France
http://ets-dollinger.com,,,
https://www.locaparctp.com,Financial Services,GUIBEVILLE,France
https://www.bocca-sacs.com,Commerce de gros,RUNGIS MIN,France
,,,
https://www.inouemfg.com/en/,Industrial Machinery Manufacturing,"Pune-Ahmednagar , Maharashtra",India
,,,
http://www.otltd.co.uk,Manufacturing,"Leeds, West Yorkshire",United Kingdom
https://www.acolea.org/,Organismes civiques et sociaux,"Lyon, Auvergne-Rhône-Alpes",France
http://www.guillerm.fr/,Construction,Plouvorn,France
,,Lichtervelde,België / Belgique / Belgien
https://www.emecpumps.com,Industrial Machinery Manufacturing,"Rieti, RI",Italia
http://www.texlinemerch.com,Retail Apparel and Fashion,"Tirupur, Tamil Nadu",India
http://www.texlinemerch.com,Retail Apparel and Fashion,"Tirupur, Tamil Nadu",India
http://www.csem.ch,Forschung,Neuchâtel,Schweiz/Suisse/Svizzera/Svizra
,,,
http://www.tuvsud.com,International Trade and Development,"Munich, Germany",Deutschland
http://www.uprepschool.org,Primary and Secondary Education,"Denver, CO",United States
http://thejamaicainn.co.uk,Hospitality,Bangor,United States
,,,
,,,
http://wkclawfirm.com,Law Practice,"Rock Island, Illinois",United States
http://greenside.herts.sch.uk,Education Administration Programs,Stevenage,United Kingdom
,,,
https://www.casa-andina.com,Hostelería,"Lima, Lima",Perú
,,,
https://www.mergerecords.com/,Musicians,,
https://recamlaser.com/,Minería,"Caldes de Montbui, Barcelona",España
http://www.carolfoxassociates.com,Public Relations and Communications Services,"Chicago, IL",United States
http://www.cloverbrook.com/,Textile Manufacturing,Burnley,United Kingdom
http://immoselekt.be,,,
https://www.fimadev.fr,Business Consulting and Services,AHUY,France
,,,
https://www.cm.com,Information Technology & Services,"Breda, Noord-Brabant",Nederland
http://Distribuidoradavidsa.com,Motor Vehicle Manufacturing,,
,,,
,,,
https://qintess.com/,Serviços e consultoria de TI,São Paulo,Brasil
http://www.newsupri.com.br/,IT Services and IT Consulting,"Recife, Pernambuco",Brasil
http://www.jhilburn.com/,Retail Apparel and Fashion,"Dallas, TX",United States
https://www.grupomartex.com,Textile Manufacturing,Mexico City,México
http://www.purever.com,Business Supplies & Equipment,"Madrid, Madrid",United States
,,,
,,,
https://apdparcel.com.au/,Freight and Package Transportation,"Dudley Park, South Australia",Australia
http://decrolyamericano.edu.gt/,Education Administration Programs,"Guatemala, Mixco",Guatemala
,Legal Services,"Los Angeles, California",United States
http://phito.com.br,Serviços de bem-estar e condicionamento físico,"sorocaba, São Paulo",Brasil
,,,
https://www.umchealthsystem.com/,Hospitals and Health Care,"Lubbock, TX",United States
https://www.sglcarbon.com/datenschutz/,Chemical Manufacturing,"Wiesbaden, Hessen",Deutschland
http://www.kriegerklatt.com,Architecture and Planning,,
http://www.biophysics.org,Research,"Rockville, Maryland",United States
http://www.sfjazz.org,Performing Arts,"San Francisco, CA",United States
,,,
http://www.qatarbuildingcompany.com,Construction,"Doha, Doha",Maroc ⵍⵎⵖⵔⵉⴱ المغرب
,,,
http://www.econsult.net,Software Development,"London, County (optional)",
,,,
,,Tremelo,België / Belgique / Belgien
https://www.rappenglitz.de/,Advertising Services,"Maisach, Bayern",Deutschland
,,,
http://www.meaf.com,Machinery Manufacturing,"Yerseke, Zeeland",Nederland
https://www.roxcel.com,Paper and Forest Product Manufacturing,Vienna,Österreich
https://www.zaun.co.uk,Construction,Wolverhampton,United Kingdom
http://www.difccourts.ae,Administration of Justice,"Dubai, UAE",الإمارات العربية المتحدة
https://sekuro.io/,Computer and Network Security,"Haymarket, New South Wales",Australia
http://www.asi.company,Motor Vehicle Manufacturing,London,United Kingdom
http://www.csem.ch,Forschung,Neuchâtel,Schweiz/Suisse/Svizzera/Svizra
https://www.janus-engineering.com/us_en/,,,
https://www.janus-engineering.com/us_en/,IT Services and IT Consulting,"Morgan Hill, California",United States
http://www.ricks-motorcycles.de,Consumer Services,"Baden-Baden, Baden-Württemberg",Deutschland
https://www.janus-engineering.com/us_en/,,,
,,,
http://cbcstjohns.co.za,Education Administration Programs,,
http://www.fashions-uk.com/,Retail,Leicester,United Kingdom
,,,
http://www.etisaleg.com,Computers and Electronics Manufacturing,"Cairo, Fifth Settlement",Egypt مصر
http://www.independence.k12.ia.us,Primary and Secondary Education,"Independence, Iowa",United States
http://www.wuppermann.com,Mining,Leverkusen,Deutschland
http://www.unitycouncil.org,Non-profit Organizations,"Oakland, CA",United States
,,,
http://www.iQcontrols.net,Construction,"Walnut Creek, CA",United States
http://www.Armortex.com,Wholesale Building Materials,"Schertz, TX",United States
,,,
http://ptboro.com,,"Point Pleasant, NJ",United States
http://www.floodlaw.com,Law Practice,"Royal Oak, Michigan",United States
http://www.admsc.com,خدمات المرافق,,
http://www.fec-tech.com,Aviation and Aerospace Component Manufacturing,"PLAINVIEW, NEW YORK",United States
http://constructioncrd.com,Construction,"QUEBEC, Quebec",Canada
,,,
https://www.gerb.com/,Hoch- und Tiefbau,Berlin,Deutschland
https://www.tecnoimpiantiobrelli.com/,Construction,"LAVIS, Tn",Italia
,,,
https://paretophone.com/,Non-profit Organizations,"FORTITUDE VALLEY, QLD",Australia
http://www.salvettillombart.com,Market Research,"BARCELONA, ESPAÑA",España
http://westoaksschool.co.uk,Education Administration Programs,,
https://www.haynesintl.com,Primary Metal Manufacturing,"Kokomo, IN",United States
,Law Practice,"Stade, Lower Saxony",Deutschland
https://www.imperialdade.com/,Business Supplies & Equipment,"Milford, CT",United States
https://panoramaeyecare.com,Hospitals and Health Care,"Fort Collins, Colorado",United States
http://cityserve-mech.co.uk,Construction,DROITWICH,United Kingdom
www.suninsurance.nz,Insurance Agencies and Brokerages,"Auckland, AUK",New Zealand / Aotearoa
,,,
,,,
http://www.equmedia.es,Advertising Services,"Madrid, Madrid",United States
http://www.magnumphotos.com,Photography,"New York, NY",United States
http://www.co-collections.com,Retail Apparel and Fashion,"Los Angeles, California",United States
http://www.energym.io,Wellness and Fitness Services,"Shirley, Solihull, England",United Kingdom
https://www.provincefirm.com/,Financial Services,"Henderson, Nevada",United States
http://www.hgc.com.hk/,Telecommunications,"Hong Kong, Hong Kong",中国
http://www.greatlakesmbpm.com,Medical Practices,"NEW BALTIMORE, MI",United States
,,,
,,,
http://www.affinityhealthservices.net,Business Consulting and Services,"Indiana, Pennsylvania",United States
http://www.selmi-group.it,Business Supplies & Equipment,,
http://www.sommer.agency,Design Services,"Palhoça, Santa Catarina",Brasil
,,,
,,,
http://www.buckprop.com,Real Estate,"Rochester, NY",United States
http://www.siegfried.ch,Pharmaceutical Manufacturing,"Zofingen, Aargau",Schweiz/Suisse/Svizzera/Svizra
http://www.gac.com/egypt,Maritime,"Cairo, Sheraton Heliopolis District",
,,,
http://www.chase.com,Financial Services,"New York, NY",United States
http://www.betalandservices.com,Oil and Gas,"Lafayette, Louisiana",United States
https://recamlaser.com/,Minería,"Caldes de Montbui, Barcelona",España
http://www.eurosupport.it,Financial Services,Milan,Italia
http://www.mitrphol.com/,Food and Beverage Manufacturing,Bangkok,ประเทศไทย
http://guestgroup.com.au,Furniture and Home Furnishings Manufacturing,Mount Waverley,Australia
http://www.oneexchangecorp.com,Oil and Gas,"Calgary, Alberta",Canada
,,,
,,,
http://www.bancodevenezuela.com,Banca,,
https://www.nagase.co.jp/english/,Chemical Manufacturing,"Japan, Tokyo",日本
,,,
www.mundor.com.br,Social Networking Platforms,"São Paulo, São Paulo",Brasil
,,,
www.mundor.com.br,Social Networking Platforms,"São Paulo, São Paulo",Brasil
,,,
,,,
www.mundor.com.br,Social Networking Platforms,"São Paulo, São Paulo",Brasil
,,,
http://www.shakeyspizza.ph/careers.asp,Restaurants,"Paranaque City, NCR",Philippines
https://www.stimgroup.it,Fabbricazione di macchinari industriali,"Cisterna di Latina, Latina",Italia
http://www.aimtron.com/,"Appliances, Electrical, and Electronics Manufacturing","Palatine, IL",United States
,,,
https://www.nagase.co.jp/english/,Chemical Manufacturing,"Japan, Tokyo",日本
https://www.nagase.co.jp/english/,Chemical Manufacturing,"Japan, Tokyo",日本
https://www.nagase.co.jp/english/,Chemical Manufacturing,"Japan, Tokyo",日本
http://www.prioritydispatch.net,Public Safety,"Salt Lake City, UT",United States
,,,
,,,
,,,
http://www.absolutecal.co.uk,"Appliances, Electrical, and Electronics Manufacturing","Fareham, Hampshire",United Kingdom
https://www.triangleilg.org/,Human Resources Services,Raleigh/Durham,United States
https://aquidneckclub.com,Hospitality,"Portsmouth, Rhode Island",United States
http://www.gizavc.com,Venture Capital and Private Equity Principals,Tel Aviv,ישראל
http://www.airtac.com,Industrial Machinery Manufacturing,"NINGBO, ZJ | Zhejiang",中国
,,,
http://www.stainlesstanker.com,Industrial Machinery Manufacturing,"Beloit, WI",United States
http://flybtr.com,Airlines and Aviation,"Baton Rouge, LA",United States
http://www.granulesindia.com,Pharmaceutical Manufacturing,"Hyderabad, AP",India
http://www.primeretailservices.com,Construction,"Flowery Branch, Georgia",United States
http://surfsidefoods.com,Food and Beverage Manufacturing,"Port Norris, New Jersey",United States
http://www.gslelectric.com,Construction,"Sandy, Utah",United States
http://www.eriematerials.com/,Building Materials,"Syracuse, New York",United States
http://www.ai-thermal.com/,Motor Vehicle Manufacturing,,
http://pneusbeaucerons.com,Consumer Services,"Beauceville, Quebec",Canada
http://www.gruppomercurio.com,Truck Transportation,"San Polo - Torrile, Parma",Italia
http://www.wsisd.net,Primary and Secondary Education,,
,,,
http://www.irda.com.my,Perhubungan Kerajaan,"Johor Bahru, Johor",Malaysia
https://www.aekfc.gr,Spectator Sports,"Athens, Attica",Ελλάς
http://manfil.com.br,Retail,"Araxá, Minas Gerais",Brasil
https://www.mundocuervo.com/,Entertainment Providers,Tequila,México
http://www.conseilsante.com,Business Consulting and Services,"Clichy, Île-de-France",France
http://newhorizonsmedical.org,Medical Practices,"Framingham, Massachusetts",United States
http://www.realcomp.com,Real Estate,"Farmington Hills, MI",United States
http://www.screenlineholdings.com/,Retail Apparel and Fashion,"Kelaniya, Western",ශ්‍රී ලංකාව இலங்கை
http://pittsburghpa.gov/,Government Administration,"Pittsburgh, PA",United States
http://pentechsolution.com.my/,IT Services and IT Consulting,Petaling Jaya,Malaysia
http://www.progen.com,Biotechnology,Heidelberg,Deutschland
https://www.birdair.com/,Construction,"Amherst, New York",United States
,,,
http://www.paydaypayroll.com,Human Resources,"Virginia Beach, Virginia",United States
http://dalvikurbyggd.is,,,
,,,
http://www.vcclawservices.com/,Law Practice,"Wan Chai, Hong Kong",中国
http://www.summerwine.biz,Weine und Spirituosen,"Kreuth, Bavaria",Deutschland
http://www.baffetmateriaux.fr/,Wholesale Building Materials,"Saint-Pantaléon de Larche, Limousin",France
http://bintangindokarya.co.id,Spectator Sports,"Brebes, Jawa Tengah",Indonesia
http://www.saragroup.com,Retail,"Dubai, Dubai",الإمارات العربية المتحدة
http://www.enhance-group.com/,Food and Beverage Services,"Dubai, DUBAI",الإمارات العربية المتحدة
http://www.Jeloin.se,Computer Networking,,
http://www.i-prac.com/,Security and Investigations,"London, London",United States
,,,
,,,
,,,
http://www.hgpf.co.za,Financial Services,"Johannesburg, Gauteng",South Africa
,,,
,IT Services and IT Consulting,,
http://www.etships.com,Truck Transportation,"Sylvania, Ohio",United States
,,,
http://fredfeet.com,Medical Practices,"FREDERICKSBURG, Virginia",United States
,,,
,,,
http://www.harwoodlloyd.com,Law Practice,"Hackensack, NJ",United States
http://packageconcepts.com,Packaging and Containers Manufacturing,"Greenville, South Carolina",United States
,,,
http://www.voyageursdumonde.fr,Organisations de voyages,Paris,France
,,,
http://www.ultimateimageprinting.com,Printing Services,"Santa Ana, California",United States
http://www.fams.net,Financial Services,"Woodstock, GA",United States
https://www.kyocera-avx.com,"Appliances, Electrical, and Electronics Manufacturing","Fountain Inn, South Carolina",United States
http://globalinfovision.com,Information Technology & Services,Hyderabad,India
http://joysonsafety.com/,Motor Vehicle Manufacturing,"Auburn Hills, Michigan",United States
https://tryspecter.com/,"Technology, Information and Internet","London, England",United Kingdom
,,,
